Alias,IVIS,Stats,Math,Art,User,Prog,Graphics,HCI,UX
Aldor,7,3,3,9,6,2,1,4,8
Aragorn,5,4,3,6,7,3,1,4,8
Arwen,3,3,3,3,8,8,3,3,3
Balin,3,4,4,6,8,2,1,2,7
Bereg,3,5,6,8,6,3,5,3,5
Bifur,4,4,5,6,10,7,7,6,7
Bilbo,6,5,8,7,8,7,7,7,8
Bofur,4,4,6,5,7,7,3,3,2
Bombadil,4,6,6,2,6,5,1,5,8
Bombur,1,4,5,10,7,4,2,3,6
Borin,2,4,2,6,6,2,1,4,10
Boromir,3,5,5,1,7,8,2,6,5
Bounder,3,9,9,3,10,10,3,3,9
Celeborn,7,6,5,6,8,4,1,6,7
Damrod,3,2,5,6,7,1,2,3,8
Deagol,1,3,3,5,8,5,1,1,2
Denethor,7,8,6,2,8,9,6,3,6
Dorlas,4,4,4,6,5,4,1,5,6
Dwalin,3,3,6,7,7,6,1,5,5
Eldarion,3,4,9,8,8,3,2,8,9
Elendil,5,3,5,6,7,7,4,6,5
Elendur,3,3,5,2,7,5,2,6,9
Elrond,3,10,8,1,6,9,4,3,3
Eomer,7,9,7,3,9,8,7,6,1
Eothain,5,5,7,4,9,9,8,4,3
Eowyn,2,4,4,4,4,2,6,4,4
Faramir,5,4,8,7,9,8,5,6,6
Ferny,5,2,3,4,8,5,3,4,1
Fili,5,5,5,4,5,5,4,5,5
Freda,3,3,9,7,7,2,2,3,8
Frodo,3,3,4,4,6,5,3,4,3
Galadriel,7,5,6,7,9,8,7,8,5
Gamgee,2,4,6,2,7,6,2,4,3
Gandalf,4,6,8,1,9,8,6,5,5
Gimli,3,3,4,9,7,1,1,1,1
Gollum,4,2,2,4,9,1,1,1,6
Gorbag,5,2,5,5,9,7,3,6,3
Grimbold,4,4,7,5,9,6,1,1,4
Grishnakh,5,8,6,2,7,8,5,4,3
Haldir,3,3,4,7,8,2,1,2,2
Haleth,2,3,3,4,6,3,1,4,5
Hama,7,8,8,7,9,8,8,7,8
Hardang,2,4,7,9,7,2,2,3,8
Idril,6,3,3,8,10,5,3,5,5
Irolas,5,4,5,2,7,7,4,6,5
Isildur,4,5,5,4,8,8,3,5,5
Kili,3,5,5,1,6,6,3,5,8
Legolas,4,4,4,7,8,8,4,4,4
Lindir,2,2,5,2,7,4,1,4,4
Lurtz,3,6,7,6,8,8,3,4,5
Madril,4,4,5,4,9,5,2,7,5
Maiar,6,5,5,7,7,4,2,5,6
Mauhur,7,2,5,8,9,6,2,6,7
Merry,5,6,7,8,7,6,4,4,8
Morwen,3,5,4,3,10,6,2,7,5
Nessa,1,1,1,2,2,1,1,1,2
Ohtar,2,2,1,3,4,4,1,2,2
Oin,7,5,8,5,8,9,7,9,7
Otho,6,3,4,6,10,7,5,9,7
Pelendur,2,5,4,3,4,5,4,4,1
Pippin,7,2,2,8,10,7,2,5,2
Quickbeam,3,3,5,8,8,2,3,3,3
Rian,3,5,5,2,8,5,3,4,4
Sam,6,3,5,9,8,4,4,4,9
Sauron,3,9,7,2,9,6,5,3,3
Shagrat,3,3,5,6,7,2,1,1,4
Sharku,2,7,5,4,6,1,1,1,8
Smaug,7,4,4,6,10,8,5,7,6
Smeagol,3,3,5,7,9,3,2,3,8
Theoden,3,5,8,1,9,2,1,1,3
Theodred,4,8,8,5,9,7,9,8,4
Thorin,7,6,7,2,10,8,6,7,7
Ugluk,4,3,5,5,8,6,4,4,2
Uruk,5,8,7,7,9,9,8,7,7
